Features,Labels
"[167.01197561851666, 140.0142849854971, 222.0, 101.13851887386922, 153.0130713370593, 76.10519036176179, 39.05124837953327, 64.05770451012833, 46.20183306445212, 280.95406264339834]",heart
"[166.10839834276894, 140.0, 233.0, 102.06860437960343, 152.00328943809077, 79.02531240052139, 40.01249804748511, 69.44395478041653, 48.97249594075066, 278.846090205086]",heart
"[164.30459518832697, 150.00333329629711, 218.0, 97.74456506629922, 142.1724305201258, 72.02777242147643, 38.05259518088089, 60.80251395393552, 41.68221883166515, 284.6763931374501]",heart
"[181.04419349981927, 157.01273833673497, 254.0, 126.58988901172162, 164.02743672934722, 83.05419917138447, 44.01136216933077, 63.43494882292201, 44.039825433333654, 279.56100514236755]",heart
"[168.01190434013895, 141.0, 220.0, 97.74456506629922, 150.0, 75.0066663703967, 38.0, 69.27444113443946, 48.31778116833484, 283.1623600246103]",heart
"[171.00292395160966, 146.01369798755184, 239.0, 110.63453348751464, 155.08062419270823, 78.10249675906654, 40.01249804748511, 67.47943439710312, 49.39870535499553, 278.0358724173005]",heart
"[174.0028735394907, 145.08618128546908, 232.0, 98.00510190801293, 154.26276284314372, 76.32168761236873, 41.012193308819754, 53.426969021480666, 36.285267125138844, 288.4244991094663]",heart
"[167.01197561851666, 145.00344823486094, 231.0, 100.44899203078147, 150.0133327407934, 75.0066663703967, 38.0, 66.61477894278624, 46.613538932881184, 280.59103124214363]",heart
"[163.01226947687098, 136.03308421115798, 230.0, 110.3177229641729, 150.05332385522155, 76.16429609731846, 39.05124837953327, 65.77225468204583, 45.73452103425482, 273.6619355755198]",heart
"[169.01183390520322, 146.00342461736986, 223.0, 97.83659846908007, 150.0, 77.00649323271382, 39.0, 72.47443162627712, 49.14462374110429, 279.9422197948035]",heart
"[174.01149387324966, 145.0, 231.0, 101.91172650877817, 162.01234520862909, 78.00640999302557, 40.01249804748511, 66.61477894278624, 47.385944030388806, 280.97888336675055]",heart
"[173.0115603073968, 156.02884348735012, 234.0, 112.43220179290273, 156.05127362504928, 77.02596964660685, 41.048751503547585, 62.850318302216834, 44.63965393661277, 280.7266622560107]",heart
"[170.0470523119998, 146.03081866510234, 223.0, 107.56393447619885, 156.02884348735012, 80.02499609497022, 42.01190307520001, 66.97450799147197, 47.26050191114127, 281.3592509722879]",heart
"[164.01219466856725, 143.0034964607509, 220.0, 105.47511554864494, 150.0, 74.02702209328699, 41.012193308819754, 63.43494882292201, 47.689770323150476, 280.66978280449666]",heart
"[170.0, 146.01369798755184, 232.0, 108.37435120913067, 154.02921800749363, 76.02631123499285, 39.0, 65.22485943116808, 48.3664606634298, 279.10864904877917]",heart
"[174.0028735394907, 147.00340132119393, 243.0, 109.65856099730654, 158.00316452527144, 80.00624975587844, 42.01190307520001, 65.77225468204583, 46.84761026599459, 281.5786295300571]",heart
"[171.00292395160966, 148.0135128966271, 231.0, 101.86265262597475, 157.07959765672945, 77.05841939723393, 39.05124837953327, 62.17590361574674, 43.40885972880541, 278.82879673713944]",heart
"[184.0244548966251, 159.11316727411344, 239.0, 113.27841806805037, 169.01183390520322, 82.09750300709517, 41.0, 57.724355685422374, 42.137594773888246, 281.76828893202065]",heart
"[173.04623659588788, 148.0135128966271, 226.0, 108.4665847162157, 154.20765220960988, 80.15609770940699, 39.05124837953327, 75.96375653207352, 55.13780385308513, 277.34122581136415]",heart
"[158.0, 142.0, 213.0, 101.86265262597475, 147.0136048126159, 75.05997601918082, 40.049968789001575, 59.74356283647073, 43.40885972880541, 278.51408780124916]",heart
"[172.01162751395617, 150.00333329629711, 227.0, 105.11898020814318, 155.0129026887762, 78.02563681252464, 37.013511046643494, 69.44395478041653, 50.403791360249706, 276.3770034676507]",heart
"[171.0263137648707, 140.0142849854971, 230.0, 110.3177229641729, 154.00324671902212, 75.0, 40.0, 62.24145939893998, 45.73452103425482, 277.832335717446]",heart
"[171.00292395160966, 148.03040228277433, 235.0, 108.37435120913067, 153.05227865013967, 75.16648189186454, 39.05124837953327, 67.69379494509236, 48.3664606634298, 278.738773480949]",heart
"[163.0, 144.0, 218.0, 96.87620966986684, 146.0, 73.00684899377592, 36.0, 64.09349200048561, 45.418209941497096, 280.7842978675626]",heart
"[160.11246047700348, 135.03332921912278, 219.0, 103.47946656221224, 147.0136048126159, 71.0, 36.0, 65.32313682966294, 48.91824886406737, 278.88846873250077]",heart
"[161.01242188104618, 139.00359707575916, 226.0, 101.31633629380802, 147.0136048126159, 78.00640999302557, 39.01281840626232, 66.97450799147197, 48.60127811722344, 277.39312073122204]",heart
"[157.00318468107582, 134.0, 213.0, 96.20810776644555, 144.01388821915754, 75.05997601918082, 41.10960958218893, 66.61477894278624, 46.68468431789629, 279.28461394301894]",heart
"[162.0, 145.01379244747721, 219.0, 90.60905032059435, 143.01398533010678, 75.02666192761077, 37.0, 67.38013505195957, 47.68377515946898, 281.6893691754392]",heart
"[182.04395073717774, 146.00342461736986, 230.0, 126.26955294131677, 160.25292509030842, 68.8839603971781, 34.713109915419565, 76.26373169437744, 60.59281093926635, 285.1707791099752]",heart
"[152.00328943809077, 142.00352108310554, 213.0, 99.03534722511958, 130.01538370516005, 62.00806399170998, 34.0147027033899, 59.30027744918559, 43.36342295838328, 287.50053156410064]",heart
"[162.077142126828, 141.05672617780408, 226.0, 103.39245620450265, 149.33519344079613, 72.24956747275377, 38.01315561749642, 57.0947570770121, 41.863641631667406, 283.86283062119196]",heart
"[160.0281225285106, 139.0323703315167, 221.0, 98.40731680114035, 142.12670403551894, 69.18092222571191, 35.12833614050059, 72.03086025984298, 52.431407971172504, 281.28685194027463]",heart
"[164.01219466856725, 145.03103116229988, 217.0, 100.44899203078147, 149.00335566691106, 77.00649323271382, 40.01249804748511, 65.89776549883887, 46.613538932881184, 284.0362434679265]",heart
"[156.08010763707205, 143.01398533010678, 218.0, 96.17692030835673, 137.05838172107534, 70.00714249274856, 36.0, 64.09349200048561, 44.15747573925959, 282.73238287407753]",heart
"[160.0, 143.0034964607509, 214.0, 92.84934033152847, 141.00354605470034, 72.00694410957877, 37.0, 71.56505117707799, 48.930175545725476, 284.36159663174175]",heart
"[171.04677722775136, 143.01398533010678, 228.0, 120.2538980657176, 156.11534197509224, 70.71067811865476, 37.21558813185679, 66.80140948635182, 51.414601807339714, 280.9647813508561]",heart
"[158.00316452527144, 139.0, 220.0, 98.3107318658548, 142.03168660548954, 69.06518659932803, 36.05551275463989, 64.09349200048561, 46.23640760285614, 285.1915475678521]",heart
"[159.0, 143.01398533010678, 228.0, 98.49365461794989, 143.0034964607509, 70.02856560004639, 36.0, 57.52880770915151, 41.29537255792288, 277.8108446725915]",heart
"[160.00312496948303, 147.00340132119393, 221.0, 97.18538984847466, 143.05593311708537, 70.06425622241343, 36.013886210738214, 57.9946167919165, 40.40945681439397, 281.6893691754392]",heart
"[155.00322577288512, 140.00357138301865, 217.0, 92.65527507918802, 137.01459776242822, 69.00724599634447, 35.0, 65.43282867939868, 46.31188778250411, 281.5745343699918]",heart
"[157.0, 140.00357138301865, 222.0, 103.32473082471591, 142.01408380861386, 69.0, 38.0, 59.53445508054011, 42.64670313389169, 281.16373456898157]",heart
"[179.22611416866684, 142.00352108310554, 223.0, 114.38968484964018, 164.59647626847908, 77.52418977325722, 39.20459156782532, 75.96375653207352, 58.95034281337738, 280.32348732469]",heart
"[176.00284088616297, 145.03103116229988, 230.0, 111.19802156513397, 161.00310556011024, 79.00632886041473, 40.0, 66.29735404903376, 48.280880772609414, 279.09027692082236]",heart
"[170.10584939971935, 146.12323566086263, 221.0, 109.04127658827184, 157.1146078504478, 79.0, 40.0, 62.850318302216834, 47.97373108248011, 280.7090135006629]",heart
"[155.00322577288512, 140.0, 216.0, 93.33809511662427, 137.01459776242822, 72.0, 37.0, 64.09349200048561, 45.0, 282.2837950821355]",heart
"[175.0028571195339, 144.01388821915754, 229.0, 110.34491379306978, 158.00316452527144, 77.02596964660685, 39.01281840626232, 65.22485943116808, 46.46880071438582, 279.1171710848615]",heart
"[160.00312496948303, 145.0, 237.0, 103.27632836231156, 144.00347218036097, 75.0, 39.01281840626232, 64.05770451012833, 43.43064519525102, 279.8658069430844]",heart
"[160.0124995117569, 145.0, 219.0, 100.00499987500625, 141.088624630053, 69.02897942168927, 36.0, 60.068488159492205, 40.539151741483444, 284.3117018240617]",heart
"[162.00308639035245, 146.01369798755184, 217.0, 102.7277956543408, 141.05672617780408, 69.02897942168927, 35.05709628591621, 67.93210043758978, 48.5517333548204, 281.66608905779856]",heart
"[161.0, 147.0136048126159, 219.0, 102.53292154230269, 143.0034964607509, 68.0294054067798, 35.014282800023196, 62.10272896905237, 44.60486295749251, 279.8658069430844]",heart
"[161.02794788483146, 143.0034964607509, 222.0, 100.41912168506553, 146.00342461736986, 71.02816342831905, 37.013511046643494, 62.10272896905237, 44.19307054489762, 280.4122525803593]",heart
"[163.04907236779974, 131.01526628603247, 218.0, 104.06248123122954, 147.0, 69.02897942168927, 36.013886210738214, 62.78388844269252, 47.72631099390626, 281.04410582417387]",heart
"[180.06943105369106, 154.0519392932137, 232.0, 109.60383204979651, 165.00303027520434, 79.02531240052139, 41.012193308819754, 60.42216131873867, 44.630354938152976, 281.27701332825256]",heart
"[162.00308639035245, 142.0, 232.0, 107.48953437428223, 151.0, 84.02380615040002, 44.01136216933077, 65.65891006330749, 45.75384833307077, 277.39789041108725]",heart
"[182.00274723201295, 158.05062480104277, 233.0, 123.69316876852982, 163.1502375113196, 82.38931969618392, 42.1070065428546, 70.11483488614456, 50.906141113770495, 280.32217207438043]",heart
"[171.0730837975396, 140.0, 230.0, 106.82696288858914, 151.33076356114773, 79.1012010022604, 40.049968789001575, 69.14554196042165, 51.84277341263094, 281.7937494104704]",heart
"[174.0258601472781, 146.03081866510234, 230.0, 115.80155439371269, 157.31814898478814, 83.72574275573791, 44.181444068749045, 75.37912601136834, 53.426969021480666, 281.6502994375377]",heart
"[161.11176245079065, 138.0, 221.0, 102.7277956543408, 145.0, 71.06335201775947, 34.0147027033899, 66.61477894278624, 48.5517333548204, 280.58562492210103]",heart
"[166.14752480852673, 150.00333329629711, 231.0, 103.85566907973777, 144.22205101855957, 73.17103251970687, 36.05551275463989, 71.56505117707799, 51.25403274391647, 279.6622115253926]",heart
"[168.0, 149.00335566691106, 226.0, 104.6900186264192, 155.0129026887762, 81.02468759581859, 42.01190307520001, 62.24145939893998, 43.451842301022026, 275.3278346874339]",heart
"[170.00294115102832, 139.01438774457844, 229.0, 118.84864324004712, 156.08010763707205, 76.23647421018367, 40.049968789001575, 69.59011716619602, 51.49077163447568, 280.6154721864704]",heart
"[166.01204775557707, 144.01388821915754, 212.0, 99.08582138732059, 151.0, 78.02563681252464, 39.0, 65.89776549883887, 47.45403167452707, 283.6758974045393]",heart
"[165.04847772699995, 142.08800090085018, 234.0, 104.66135867644753, 144.2809758769326, 73.24616030891995, 40.01249804748511, 65.89776549883887, 45.77422016492806, 284.3746149169753]",heart
"[168.00297616411441, 147.05441169852742, 219.0, 103.24727599312246, 152.0, 73.02739212103907, 39.01281840626232, 60.25511870305777, 44.21517539700811, 282.80426606528675]",heart
"[159.00314462299164, 140.03213916812098, 226.0, 99.08582138732059, 147.03060905811415, 79.1580697086532, 41.10960958218893, 65.22485943116808, 47.45403167452707, 278.8790241369798]",heart
"[164.01219466856725, 147.00340132119393, 234.0, 97.6165969494942, 144.1700384962146, 72.24956747275377, 37.05401462729781, 56.725112015165074, 37.92646232503862, 287.10272896905235]",heart
"[169.0266251216062, 148.0135128966271, 221.0, 104.89041900955492, 155.0129026887762, 83.00602387778854, 42.01190307520001, 70.3461759419467, 48.86546116985175, 275.901748276279]",heart
"[173.0, 149.01342221424215, 225.0, 96.89685237405806, 154.0811474515945, 78.16009211867653, 40.11234224026316, 64.72227776444704, 43.745548377318464, 284.09547817648667]",heart
"[166.02710622064097, 147.0136048126159, 221.0, 98.41239759298622, 149.01342221424215, 73.10950690573696, 37.013511046643494, 57.52880770915151, 42.11703654746046, 283.03215169036383]",heart
"[168.01190434013895, 142.12670403551894, 223.0, 100.56838469419701, 149.03019828209315, 70.11419257183242, 37.0, 55.88552705465874, 41.77547739348009, 291.8014094863518]",heart
"[163.01226947687098, 144.0, 230.0, 92.65527507918802, 145.0551619212498, 80.02499609497022, 43.01162633521314, 69.27444113443946, 43.688112217495885, 279.2461127455632]",heart
"[163.04907236779974, 140.03213916812098, 217.0, 102.61578825892242, 150.05332385522155, 76.05918747922567, 39.01281840626232, 70.70995378081126, 52.125016348901795, 279.3154971531768]",heart
"[161.25135658344087, 147.0136048126159, 223.0, 101.31633629380802, 140.28898745090436, 70.02856560004639, 36.013886210738214, 60.80251395393552, 41.398721882776556, 286.7810547444746]",heart
"[165.01212076693034, 143.0034964607509, 216.0, 99.08582138732059, 150.00333329629711, 70.02856560004639, 37.05401462729781, 62.10272896905237, 47.45403167452707, 282.0836024427691]",heart
"[162.0, 147.03060905811415, 218.0, 106.10372283760829, 146.00342461736986, 75.0066663703967, 38.01315561749642, 64.6538240580533, 46.52752544221293, 280.304846468766]",heart
"[169.01183390520322, 146.08559134972896, 231.0, 107.5174404457249, 151.00331122197287, 78.00640999302557, 39.05124837953327, 66.97450799147197, 46.50743575877497, 280.57751914912006]",heart
"[164.01219466856725, 144.00347218036097, 221.0, 101.91172650877817, 152.16109883935513, 78.16009211867653, 40.01249804748511, 59.74356283647073, 42.61405596961119, 279.92624550665175]",heart
"[177.47675904185314, 151.21177202850313, 219.0, 116.66190466471906, 159.0, 71.06335201775947, 37.013511046643494, 66.97450799147197, 51.263490614334536, 282.9847704645494]",heart
"[175.0028571195339, 147.05441169852742, 226.0, 109.34349546269316, 155.11608556174951, 77.10382610480494, 38.01315561749642, 69.14554196042165, 50.19442890773481, 280.27457928747526]",heart
"[168.00297616411441, 144.03124660989366, 226.0, 106.21675950620975, 147.0136048126159, 71.0, 35.014282800023196, 64.05770451012833, 48.05288251479243, 284.2582473146692]",heart
"[173.0115603073968, 152.0131573252789, 232.0, 114.58621208504974, 153.05227865013967, 78.02563681252464, 41.012193308819754, 63.99665415548856, 46.41442321140215, 282.98183896440463]",heart
"[157.0286598045083, 136.0036764208968, 216.0, 94.847245611035, 140.089257261219, 68.06614430096654, 36.013886210738214, 60.64224645720873, 42.436229788534995, 287.4729213431358]",heart
"[165.00303027520434, 145.0551619212498, 232.0, 104.7377677822093, 148.05404418657398, 76.02631123499285, 39.01281840626232, 67.69379494509236, 47.32153058983272, 276.3297018559661]",heart
"[150.05332385522155, 136.0, 208.0, 90.52071586106685, 133.01503674397117, 65.03076195155643, 34.0147027033899, 61.26020470831195, 44.104826289788924, 280.50300301891787]",heart
"[167.0269439342048, 138.00362314084367, 228.0, 111.07204868912791, 155.00322577288512, 73.06161783043132, 38.05259518088089, 63.43494882292201, 46.82408983237611, 284.9702341681344]",heart
"[159.0125781188394, 139.01438774457844, 215.0, 107.05606008068857, 149.03019828209315, 73.00684899377592, 39.0, 63.43494882292201, 49.16650488554868, 280.0497768333078]",heart
"[161.0, 135.05924625881784, 219.0, 103.85566907973777, 146.12323566086263, 72.11102550927978, 37.013511046643494, 70.25316339457389, 51.25403274391647, 278.75699481532445]",heart
"[166.00301202086666, 140.03213916812098, 226.0, 108.18964830333815, 150.0133327407934, 71.11258679024411, 37.05401462729781, 57.84770485871766, 44.62552311327717, 282.98543735041005]",heart
"[166.0, 147.00340132119393, 221.0, 99.03534722511958, 152.029602380589, 81.05553651663777, 42.04759208325728, 65.22485943116808, 46.63657704161671, 278.85076597667364]",heart
"[161.00310556011024, 138.01449199268893, 214.0, 102.82509421342633, 145.01379244747721, 74.02702209328699, 38.01315561749642, 67.69379494509236, 49.3382667914282, 283.01802086702827]",heart
"[169.01183390520322, 146.01369798755184, 223.0, 104.1393297462587, 154.0, 75.0066663703967, 39.0, 65.89776549883887, 48.50353164478446, 277.785081130419]",heart
"[159.0125781188394, 146.01369798755184, 222.0, 98.3107318658548, 140.03213916812098, 69.02897942168927, 34.0147027033899, 64.09349200048561, 46.23640760285614, 281.49574904531437]",heart
"[163.11039206623224, 141.00354605470034, 225.0, 101.13851887386922, 148.12157169028418, 72.11102550927978, 37.013511046643494, 63.43494882292201, 46.20183306445212, 282.97288042796583]",heart
"[165.0, 142.08800090085018, 216.0, 104.06248123122954, 152.0131573252789, 79.0, 40.01249804748511, 66.44773632710535, 47.72631099390626, 284.3965895313137]",heart
"[172.10461934532728, 147.03060905811415, 228.0, 110.39021695784459, 160.0781059358212, 81.0, 42.0, 63.99665415548856, 47.202598161765806, 278.2348158157249]",heart
"[181.0994202089007, 148.0135128966271, 237.0, 123.14625451064275, 171.10523077919038, 83.38465086573187, 43.18564576337837, 72.2995722113328, 55.92280471986926, 280.9880494586215]",heart
"[177.01129907438113, 155.0129026887762, 233.0, 110.5350623105628, 159.02829936838285, 81.00617260431454, 41.0, 67.96377305985455, 48.66778805553143, 278.4331674037196]",heart
"[171.04677722775136, 146.03081866510234, 221.0, 97.082439194738, 156.32018423735306, 78.31347265956222, 39.05124837953327, 59.53445508054011, 41.241444314527996, 281.3234679756614]",heart
"[163.00306745579974, 140.00357138301865, 231.0, 102.53292154230269, 151.0132444522665, 74.10802925459562, 38.05259518088089, 60.94539590092286, 45.395137042507486, 281.1469245415251]",heart
"[162.04937519163718, 145.01379244747721, 211.0, 99.82484660644363, 144.03124660989366, 71.02816342831905, 38.01315561749642, 64.72227776444704, 47.84213788365566, 284.5085081451584]",heart
"[162.0, 145.00344823486094, 224.0, 98.3107318658548, 143.0, 73.0, 36.013886210738214, 64.09349200048561, 43.76359239714385, 282.80426606528675]",heart
"[162.00308639035245, 145.0551619212498, 228.0, 99.82484660644363, 147.00340132119393, 75.0066663703967, 38.0, 66.61477894278624, 47.84213788365566, 280.7842978675626]",heart
"[156.00320509528, 140.0142849854971, 213.0, 91.2414379544733, 138.03260484392808, 72.24956747275377, 37.21558813185679, 60.80251395393552, 43.66778014613036, 281.6944621336047]",heart
"[166.01204775557707, 144.03124660989366, 226.0, 109.04127658827184, 155.00322577288512, 78.0, 41.0, 64.59228189105153, 47.97373108248011, 278.1210358490472]",heart
"[166.0752841334315, 150.05332385522155, 221.0, 106.15083607772479, 148.00337833982033, 75.0066663703967, 39.01281840626232, 67.69379494509236, 47.29061004263853, 278.2197069407548]",heart
"[155.0290295396317, 136.0036764208968, 215.0, 101.11874208078342, 148.03040228277433, 75.0066663703967, 40.01249804748511, 61.606980578617005, 45.40066325579215, 276.8412840887376]",heart
"[157.0286598045083, 137.00364958642524, 223.0, 89.27485648266257, 143.17122615944868, 76.10519036176179, 38.05259518088089, 66.19405648154228, 41.36704926051179, 280.42728391315745]",heart
"[176.0113632695344, 147.03060905811415, 239.0, 112.43220179290273, 156.0, 79.0, 40.01249804748511, 62.300527191945, 45.36034606338723, 282.11344005518475]",heart
"[163.01226947687098, 141.00354605470034, 225.0, 108.93117092916977, 151.00331122197287, 79.02531240052139, 40.049968789001575, 63.99665415548856, 46.48786752882778, 278.1659290054273]",heart
"[159.0, 141.01418368376991, 223.0, 99.82484660644363, 144.01388821915754, 71.00704190430693, 37.013511046643494, 58.29857033049428, 42.15786211634433, 284.14634608682184]",heart
"[169.0266251216062, 147.0136048126159, 229.0, 106.5269918846862, 153.0294089382822, 78.05767098754612, 41.0, 69.90476880809518, 50.33215888165955, 281.74335437502253]",heart
"[169.0, 146.00342461736986, 229.0, 104.6900186264192, 153.00326793895613, 80.02499609497022, 40.01249804748511, 66.97450799147197, 46.54815769897797, 274.9697407281103]",heart
"[168.0, 139.01438774457844, 229.0, 114.20157617125956, 158.07909412695912, 80.09993757800315, 42.04759208325728, 70.01689347810002, 52.82907651005961, 278.7636278250422]",heart
"[162.00308639035245, 145.03103116229988, 212.0, 106.21675950620975, 143.0314650697531, 69.06518659932803, 36.013886210738214, 65.32313682966294, 48.05288251479243, 284.2463971019088]",heart
"[167.0, 151.00331122197287, 217.0, 105.3612832116238, 154.0, 77.0, 38.0, 62.24145939893998, 44.61547034041549, 277.4070720591018]",heart
"[162.00308639035245, 144.00347218036097, 217.0, 103.27632836231156, 147.00340132119393, 72.02777242147643, 37.05401462729781, 65.32313682966294, 46.56935480474898, 277.39312073122204]",heart
"[164.0762018087937, 137.17871555019022, 220.0, 107.44766167767449, 145.0551619212498, 71.25307010929424, 37.12142238654117, 70.70995378081126, 51.42347043655657, 281.8974981205543]",heart
"[168.02678357928536, 149.0, 224.0, 105.3612832116238, 156.00320509528, 77.0, 41.0, 62.81888891452278, 45.3845296595845, 276.7240886026283]",heart
"[158.00316452527144, 137.01459776242822, 212.0, 91.0494371207203, 141.00354605470034, 71.0, 37.013511046643494, 71.56505117707799, 51.24191434741505, 281.888658039628]",heart
"[162.04937519163718, 142.0, 224.0, 104.9952379872535, 143.1258187749506, 73.06161783043132, 37.05401462729781, 68.96248897457819, 49.63546342690264, 278.0293900305118]",heart
"[160.1998751560063, 137.05838172107534, 219.0, 93.38094023943002, 142.03168660548954, 69.0, 36.013886210738214, 61.26020470831195, 43.26429541107161, 287.979116865273]",heart
"[184.39088914585776, 147.05441169852742, 232.0, 126.03570922560003, 163.01226947687098, 77.78174593052023, 42.2965719651132, 71.93952806380082, 51.766174822553054, 286.1525496132776]",heart
"[167.10774967068403, 140.00357138301865, 233.0, 104.35037134576953, 152.08221460775746, 76.02631123499285, 38.0, 67.69379494509236, 50.053826050064366, 280.6700073027845]",heart
"[160.0281225285106, 141.0319112825179, 217.0, 108.00462953040486, 143.1258187749506, 70.178344238091, 36.124783736376884, 70.70995378081126, 53.660603670829786, 284.5110595001691]",heart
"[171.0730837975396, 143.0, 231.0, 115.6027681329474, 161.15210206509875, 81.15417426109393, 41.048751503547585, 70.4268741695898, 52.73359809902286, 277.91890243837724]",heart
"[170.01176429882727, 146.01369798755184, 221.0, 103.23274674249446, 153.08167754502824, 79.00632886041473, 40.0, 70.70995378081126, 51.68690932618236, 279.3698746561605]",heart
